Date,Institutional Net,Retail Net
1986-01-15,22003,15
1986-01-31,33324,5059
1986-02-14,35433,3922
1986-02-28,30428,-3239
1986-03-14,28066,-3750
1986-03-31,16380,-3382
1986-04-15,17152,-4185
1986-04-30,20497,-3454
1986-05-15,20784,-1919
1986-05-30,22026,460
1986-06-13,27136,-1699
1986-06-30,12790,-2461
1986-07-15,24704,2722
1986-07-31,24522,7377
1986-08-15,22677,1326
1986-08-29,26021,5733
1986-09-15,37969,9665
1986-09-30,36154,5661
1986-10-15,39167,5734
1986-10-31,35968,9496
1986-11-14,30616,3745
1986-11-28,31134,3303
1986-12-15,26727,1472
1986-12-31,16763,-1828
1987-01-15,22371,-2904
1987-01-30,23248,-3219
1987-02-13,21757,-2420
1987-02-27,26430,-4051
1987-03-13,40842,-5325
1987-03-31,22365,-9847
1987-04-15,24129,-9419
1987-04-30,26071,-8898
1987-05-15,29498,-11951
1987-05-29,32921,-4338
1987-06-15,41359,-4571
1987-06-30,22571,-1631
1987-07-15,30703,-6132
1987-07-31,30635,1714
1987-08-14,36334,2628
1987-08-31,34866,-2479
1987-09-15,16444,-15849
1987-09-30,19907,-3855
1987-10-15,25607,-9226
1987-10-30,32175,-7630
1987-11-13,32984,-7456
1987-11-30,32173,-8611
1987-12-15,18768,-7776
1987-12-31,19431,-4503
1988-01-15,23896,-5115
1988-01-29,28936,2531
1988-02-12,38034,7521
1988-02-29,40199,-2895
1988-03-15,19326,-12655
1988-03-31,27273,-9956
1988-04-15,31967,-9297
1988-04-29,31443,-8142
1988-04-29,3714,17
1988-05-13,33200,-4409
1988-05-13,3820,132
1988-05-31,35128,91
1988-05-31,6090,1280
1988-06-15,15984,1711
1988-06-30,16230,2169
1988-07-15,17039,3390
1988-07-29,16199,1100
1988-08-15,18392,-1514
1988-08-31,16319,27
1988-09-15,19542,114
1988-09-30,11029,1140
1988-10-14,15149,-4919
1988-10-31,15300,-3620
1988-11-15,15236,-4393
1988-11-30,20044,-6799
1988-12-15,22830,-2946
1988-12-30,14026,-1470
1989-01-13,23003,3840
1989-01-31,21448,2561
1989-02-15,22296,1896
1989-02-28,24939,1305
1989-03-15,18022,6433
1989-03-31,20613,6207
1989-04-14,18208,5330
1989-04-28,15733,3870
1989-05-15,26838,5356
1989-05-31,26722,5081
1989-06-15,28215,5136
1989-06-30,22990,6238
1989-07-14,20823,-789
1989-07-31,16356,-4824
1989-08-15,21323,2774
1989-08-31,20628,7913
1989-09-15,33700,4180
1989-09-29,19089,-1867
1989-10-13,20157,4832
1989-10-31,20096,1498
1989-11-15,19792,1368
1989-11-30,22879,2914
1989-12-15,22705,-3927
1989-12-29,12447,-5056
1990-01-15,14952,-5585
1990-01-31,16660,-4661
1990-02-15,22090,-5746
1990-02-28,23471,-3887
1990-03-15,29034,3821
1990-03-30,20450,2253
1990-04-12,23841,-1468
1990-04-30,23549,2314
1990-05-15,25020,-3585
1990-05-31,24319,-3747
1990-06-15,26582,-5520
1990-06-29,18696,-7634
1990-07-13,22136,-5551
1990-07-31,23776,-6777
1990-08-15,27292,-5784
1990-08-31,30038,-3048
1990-09-14,35113,-1504
1990-09-28,26120,3150
1990-10-15,24064,-4399
1990-10-31,24088,-1005
1990-11-15,27909,-623
1990-11-30,27312,3724
1990-12-14,28916,8116
1990-12-31,24651,8721
1991-01-15,19761,3982
1991-01-31,22236,-828
1991-02-15,25298,-4250
1991-02-28,27389,4078
1991-03-15,40072,7645
1991-03-28,30696,6899
1991-04-15,29651,3913
1991-04-30,27788,5235
1991-05-15,27662,5103
1991-05-31,29524,8729
1991-06-14,41840,9912
1991-06-28,30099,8178
1991-07-15,25159,4092
1991-07-31,16973,-478
1991-08-15,17022,753
1991-08-30,19516,1622
1991-09-16,26881,-7782
1991-09-30,16393,-6474
1991-10-15,19127,3193
1991-10-31,20982,-1536
1991-11-15,22121,-5361
1991-11-29,22866,-1886
1991-12-13,23098,-1894
1991-12-31,13135,-4716
1992-01-15,21207,3474
1992-01-31,23008,6183
1992-02-14,22291,5667
1992-02-28,25498,6699
1992-03-13,36662,10468
1992-03-31,23551,6902
1992-04-15,24768,3526
1992-04-30,24328,-2808
1992-05-15,24686,-7728
1992-05-29,24569,-4690
1992-06-15,32134,-5935
1992-06-30,18759,-4551
1992-07-15,17731,-4157
1992-07-31,19295,-696
1992-08-14,18941,1562
1992-08-31,21695,-3318
1992-09-15,28789,5655
1992-09-30,27669,9132
1992-10-06,28499,9944
1992-10-13,29175,8577
1992-10-20,27440,8046
1992-10-27,30903,7659
1992-11-03,31978,7532
1992-11-10,32271,7452
1992-11-17,32636,7220
1992-11-24,32946,7571
1992-12-01,30957,6065
1992-12-08,29085,2732
1992-12-15,28728,2394
1992-12-22,21501,5983
1992-12-29,32751,12385
1993-01-05,30791,9893
1993-01-12,22922,2705
1993-01-19,20685,2443
2004-01-06,38137,-16995
2004-01-13,43980,-17539
2004-01-20,42621,-15767
2004-01-27,43433,-16436
2004-02-03,43199,-13776
2004-02-10,44164,-16721
2004-02-17,46653,-13709
2004-02-24,45079,-14287
2004-03-02,45531,-11222
2004-03-09,60282,-10899
2004-03-16,30750,-7600
2004-03-23,34827,-11068
2004-03-30,32272,-8602
2004-04-06,31921,-8940
2004-04-12,32823,-9297
2004-04-20,32965,-4521
2004-04-27,34527,-2531
2004-05-04,37936,-2527
2004-05-11,39685,498
2004-05-18,35989,202
2004-05-25,35362,-2963
2004-06-01,38590,-11023
2004-06-08,45293,-10790
2004-06-15,28666,-11444
2004-06-22,29117,-9254
2004-06-29,33692,-10842
2004-07-06,30567,-12406
2004-07-13,38270,-14351
2004-07-20,42820,-17047
2004-07-27,39346,-11967
2004-08-03,44695,-12671
2004-08-10,41460,-10395
2004-08-17,50510,-10719
2004-08-24,57575,-6267
2004-08-31,59705,-2773
2004-09-07,70289,251
2004-09-14,34116,-1672
2004-09-21,34231,310
2004-09-28,39332,-4008
2004-10-05,45015,-4135
2004-10-12,52081,-4980
2004-10-19,51831,-8989
2004-10-26,47652,-14829
2004-11-02,46211,-13548
